D03,A,File,Erasure,Fic.eff,IF.L,Vir,Exp,,,,,,min(08D07;11D06),,11D05
D10,A,File,Erasure,Fic.eff,IF.L,Vir,Exp,,,,,,min(08D07;11D06),,11D04
D02,A,File,Erasure,Fic.eff,ER.P,Pro,Exp,,Ain,,Ual,,,,11D04
D02,A,File,Erasure,Fic.eff,ER.P,Pro,Exp,,Ain,,Uai,,,,11D04
D02,A,File,Erasure,Fic.eff,ER.P,Pro,Exp,,Ain,,Una,,,,11D04
D02,A,File,Erasure,Fic.eff,ER.P,Pro,Exp,,Ain,,E,,,,11D04
D02,A,File,Erasure,Fic.eff,ER.P,Pro,Exp,,Ain,,M,,,,11D04
D02,A,File,Erasure,Fic.eff,MA.L,Del,Exp,,Ain,,Ual,,,,11D04
D02,A,File,Erasure,Fic.eff,MA.L,Del,Exp,,Ain,,Uai,,07A02,,11D04
D02,A,File,Erasure,Fic.eff,MA.L,Del,Exp,,Ain,,Una,,min(07A03;07A04),,11D04
D02,A,File,Erasure,Fic.eff,MA.L,Del,Exp,,Ain,,E,min(08F02;08F03),,,11D04
D02,A,File,Erasure,Fic.eff,MA.L,Del,Exp,,Ain,,M,,,,11D04
D01,A,File,Erasure,Fic.eff,MA.L,Tot,,,Ain,,E,min(08F02;08F03),,,
D02,A,File,Erasure,Fic.eff,MA.L,Tot,,,Ain,,E,min(08F02;08F03),,,
D02,A,Media,Destruction,Med.des,AC.E,Inc,Exp,,,,,,03D01,,min(11D04;08D09)
D02,A,Media,Destruction,Med.des,AC.E,Ino,Exp,,,,,,,,min(11D04;08D09)
D02,A,Media,Disappearance,Med.dis,MA.P,Vol,Exp,,,,Pna,03B06,min(03B03;03B04),,11D04
D02,C,Media,Disappearance,Med.dis,MA.P,Vol,Exp,,,,Pna,03B06,min(03B03;03B04),,11D04
D02,A,Media,Disappearance,Med.dis,MA.P,Vol,Exp,,,,E,03B06,,,11D04
D02,A,Media,Disappearance,Med.dis,MA.P,Vol,Exp,,,,Pse,03B06,,,11D04
D02,A,Media,Inoperability,Med.ine,AC.M,Equ,Exp,,,,,,,,11D04
D02,A,Media,Inoperability,Med.ine,IC.E,De,Exp,,,,,,03C01,,11D04
D02,A,Media,Inoperability,Med.ine,IC.E,Se,Exp,,,,,,min(03A01;03A04),,11D04
D02,A,Electronic_Media,Inoperability,Med.ine,IF.L,Exp,Exp,,,,,,08A03,08E03,11D04
D02,A,Access means,Disappearance,Cle.dis,ER.P,Pro,,,,,,,,,11D08
D02,A,Access means,Disappearance,Cle.dis,MA.P,Vol,,,,,,,,,11D08
D01,A,File,Erasure,Fic.eff,IF.L,Vir,Bur,,,,,,min(08D07;11D06),,11D04
D02,A,File,Erasure,Fic.eff,IF.L,Vir,Bur,,,,,,min(08D07;11D06),,11D04
D03,A,File,Erasure,Fic.eff,IF.L,Vir,Bur,,,,,,min(08D07;11D06),,11D05
D10,A,File,Erasure,Fic.eff,IF.L,Vir,Bur,,,,,,min(08D07;11D06),,11D04
D03,A,File,Erasure,Fic.eff,ER.P,Pro,Bur,,Apc,,Ua,,,,11D05
D01,A,File,Erasure,Fic.eff,ER.P,Pro,Bur,,Apc,,Ua,,,,08D05
D02,A,File,Erasure,Fic.eff,ER.P,Pro,Bur,,Apc,,Ua,,,,08D05
D03,A,File,Erasure,Fic.eff,ER.P,Pro,Bur,,Ain,,E,,,,11D05
D01,A,File,Erasure,Fic.eff,ER.P,Pro,Bur,,Ain,,E,,,,08D05
D02,A,File,Erasure,Fic.eff,ER.P,Pro,Bur,,Ain,,E,,,,08D05
D03,A,File,Erasure,Fic.eff,ER.P,Pro,Bur,,,,M,,,,11D05
D01,A,File,Erasure,Fic.eff,ER.P,Pro,Bur,,,,M,,,,08D05
D02,A,File,Erasure,Fic.eff,ER.P,Pro,Bur,,,,M,,,,08D05
D03,A,File,Erasure,Fic.eff,ER.P,Pro,Exp,Abs,Apc,,Una,,11B01,,11D05
D01,A,File,Erasure,Fic.eff,ER.P,Pro,Exp,Abs,Apc,,Una,,max(07A05;09A05),,08D05
D02,A,File,Erasure,Fic.eff,ER.P,Pro,Exp,Abs,Apc,,Una,,max(07A05;09A05),,08D05
D03,A,Files,Erasure,Fic.eff,MA.L,Del,Bur,Abs,Apc,,Una,,11B01,,11D05
D01,A,Files,Erasure,Fic.eff,MA.L,Del,Bur,Abs,Apc,,Una,,max(07A05;09A05),,11D05
D02,A,Files,Erasure,Fic.eff,MA.L,Del,Bur,Abs,Apc,,Una,,max(07A05;09A05),,11D05
D03,A,Files,Erasure,Fic.eff,MA.L,Del,Bur,Hho,Apc,,Una,,11B01,,11D05
D01,A,Files,Erasure,Fic.eff,MA.L,Del,Bur,Hho,Apc,,Una,,max(07A05;09A05),,11D05
D02,A,Files,Erasure,Fic.eff,MA.L,Del,Bur,Hho,Apc,,Una,,max(07A05;09A05),,11D05
D03,A,Files,Erasure,Fic.eff,MA.L,Del,Bur,,Ain,,E,min(08F02;08F03),,,11D05
D01,A,Files,Erasure,Fic.eff,MA.L,Del,Bur,,Ain,,E,,max(07A05;09A05),,11D05
D02,A,Files,Erasure,Fic.eff,MA.L,Del,Bur,,Ain,,E,,max(07A05;09A05),,11D05
D03,A,Files,Erasure,Fic.eff,MA.L,Del,Bur,,,,M,,,,11D05
D01,A,Files,Erasure,Fic.eff,MA.L,Del,Bur,,,,M,,,,08D05
D02,A,Files,Erasure,Fic.eff,MA.L,Del,Bur,,,,M,,,,08D05
D03,A,Media,Destruction,Med.des,AC.E,Inc,Bur,,,,,,,,11D05
D04,A,Document,Destruction,PMed.des,AC.E,Inc,Bur,,,,,,,,11D05
D03,A,Media,Destruction,Med.des,AC.E,Ino,Bur,,,,,,,,11D05
D04,A,Document,Destruction,PMed.des,AC.E,Ino,Bur,,,,,,,,11D05
D01,A,Media,Disappearance,Med.dis,ER.P,Peo,Bur,,,,,,,,11D05
D01,C,Media,Disappearance,Med.dis,ER.P,Peo,Bur,,,,,02C05,max(02C03;02D02),,11D05
D03,A,Media,Disappearance,Med.dis,ER.P,Peo,Bur,,,,,,,,11D05
D03,C,Media,Disappearance,Med.dis,ER.P,Peo,Bur,,,,,02C05,max(02C03;02D02),,11D05
D04,A,Document,Disappearance,PMed.dis,ER.P,Peo,Bur,,,,,02C05,max(02C03;02D02),,
D04,C,Document,Disappearance,PMed.dis,ER.P,Peo,Bur,,,,,02C05,max(02C03;02D02),,
D01,A,Media,Disappearance,Med.dis,ER.P,Peo,Ext,,,,,,,,11D05
D01,C,Media,Disappearance,Med.dis,ER.P,Peo,Ext,,,,,02C05,max(02C03;02D02),,11D05
D03,A,Media,Disappearance,Med.dis,ER.P,Peo,Ext,,,,,,,,11D05
D03,C,Media,Disappearance,Med.dis,ER.P,Peo,Ext,,,,,02C05,max(02C03;02D02),,11D05
D03,A,Media,Disappearance,PMed.dis,ER.P,Peo,Ext,,,,,,,,11D05
D03,C,Media,Disappearance,PMed.dis,ER.P,Peo,Ext,,,,,,11C01,,
D03,A,PC,Disappearance,Med.dis,MA.P,Vol,Bur,,,,Per,02C05,02D02,,11D05
D03,C,PC,Disappearance,Med.dis,MA.P,Vol,Bur,,,,Per,02C05,02D02,,11D05
D03,A,PC,Disappearance,Med.dis,MA.P,Vol,Bur,,,,Pse,02C05,02D02,,11D05
D03,C,PC,Disappearance,Med.dis,MA.P,Vol,Bur,,,,Pse,02C05,02D02,,11D05
